op	rc	summary
chamfer_feature	0	14 passed in 5.77s
boolean_union	0	14 passed in 5.27s
boolean_intersection	0	14 passed in 5.58s
snapshot	0	7 passed in 5.02s
loft_feature	1	FAILED tests/test_native_loft_feature.py::test_loft_feature_native_recompute_failure_rolls_back|FAILED tests/test_native_loft_feature.py::test_loft_feature_native_inspection_failure_rolls_back_after_recompute|FAILED tests/test_native_loft_feature.py::test_loft_feature_native_rollback_restores_rich_model[recompute]|FAILED tests/test_native_loft_feature.py::test_loft_feature_native_rollback_restores_rich_model[inspection]|FAILED tests/test_native_loft_feature.py::test_loft_feature_native_rollback_restores_rich_model[validation]|FAILED tests/test_native_loft_feature.py::test_loft_feature_native_postcondition_cannot_write[property]|FAILED tests/test_native_loft_feature.py::test_loft_feature_native_postcondition_cannot_write[structure]|8 failed, 6 passed in 6.54s|
revolve_feature	1	FAILED tests/test_native_revolve_feature.py::test_revolve_feature_native_recompute_failure_rolls_back|FAILED tests/test_native_revolve_feature.py::test_revolve_feature_native_inspection_failure_rolls_back_after_recompute|FAILED tests/test_native_revolve_feature.py::test_revolve_feature_native_rollback_restores_rich_model[recompute]|FAILED tests/test_native_revolve_feature.py::test_revolve_feature_native_rollback_restores_rich_model[inspection]|FAILED tests/test_native_revolve_feature.py::test_revolve_feature_native_rollback_restores_rich_model[validation]|FAILED tests/test_native_revolve_feature.py::test_revolve_feature_native_postcondition_cannot_write[property]|FAILED tests/test_native_revolve_feature.py::test_revolve_feature_native_postcondition_cannot_write[structure]|8 failed, 6 passed in 9.82s|
sweep_feature	1	FAILED tests/test_native_sweep_feature.py::test_sweep_feature_native_recompute_failure_rolls_back|FAILED tests/test_native_sweep_feature.py::test_sweep_feature_native_rollback_failure_is_uncertain_and_fences_document|FAILED tests/test_native_sweep_feature.py::test_sweep_feature_native_inspection_failure_rolls_back_after_recompute|FAILED tests/test_native_sweep_feature.py::test_sweep_feature_native_failure_isolated_and_healthy_rollback_recovers|FAILED tests/test_native_sweep_feature.py::test_sweep_feature_native_duplicate_and_missing_document_keep_typed_errors|FAILED tests/test_native_sweep_feature.py::test_sweep_feature_native_postcondition_cannot_write[property]|FAILED tests/test_native_sweep_feature.py::test_sweep_feature_native_postcondition_cannot_write[structure]|10 failed, 4 passed in 14.71s|
helical_sweep_feature	1	FAILED tests/test_native_helical_sweep_feature.py::test_helical_sweep_feature_native_failure_isolated_and_healthy_rollback_recovers|FAILED tests/test_native_helical_sweep_feature.py::test_helical_sweep_feature_native_duplicate_and_missing_document_keep_typed_errors|FAILED tests/test_native_helical_sweep_feature.py::test_helical_sweep_feature_native_rollback_restores_rich_model[recompute]|FAILED tests/test_native_helical_sweep_feature.py::test_helical_sweep_feature_native_rollback_restores_rich_model[inspection]|FAILED tests/test_native_helical_sweep_feature.py::test_helical_sweep_feature_native_rollback_restores_rich_model[validation]|FAILED tests/test_native_helical_sweep_feature.py::test_helical_sweep_feature_native_postcondition_cannot_write[property]|FAILED tests/test_native_helical_sweep_feature.py::test_helical_sweep_feature_native_postcondition_cannot_write[structure]|11 failed, 3 passed in 7.30s|
pad_feature	1	E   AssertionError: assert ((('Anchor', ...on': 1}, ...]) == ((('Anchor', ...on': 1}, ...])|E   AssertionError: assert ((('Anchor', ...on': 1}, ...]) == ((('Anchor', ...on': 1}, ...])|FAILED tests/test_native_pad_feature.py::test_pad_feature_native_validation_failure_restores_complete_state|FAILED tests/test_native_pad_feature.py::test_pad_feature_native_recompute_failure_rolls_back|FAILED tests/test_native_pad_feature.py::test_pad_feature_native_inspection_failure_rolls_back_after_recompute|FAILED tests/test_native_pad_feature.py::test_pad_feature_native_postcondition_cannot_write[property]|FAILED tests/test_native_pad_feature.py::test_pad_feature_native_postcondition_cannot_write[structure]|5 failed, 9 passed in 6.54s|
sketch_attach	0	14 passed in 6.00s
bounding_box	0	3 passed in 4.70s
create_assembly	0	3 passed in 4.90s
